"Persons Aged 15 Years and Over Place of Work","Cooma","Owner manager of unincorporated enterprise with employees",119
"Persons Aged 15 Years and Over Place of Work","Cooma","Owner manager of unincorporated enterprise without employees",161
"Persons Aged 15 Years and Over Place of Work","Cooma","Owner manager of unincorporated enterprise - employees not stated",6
"Persons Aged 15 Years and Over Place of Work","Cooma","Contributing family worker",63
"Persons Aged 15 Years and Over Place of Work","Cooma","Not stated",34
"Persons Aged 15 Years and Over Place of Work","Cooma","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Cooma","Total",3416
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Employee",281
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Owner manager of incorporated enterprise with employees",41
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Owner manager of incorporated enterprise without employees",33
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Owner manager of unincorporated enterprise with employees",75
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Owner manager of unincorporated enterprise without employees",111
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Owner manager of unincorporated enterprise - employees not stated",7
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Contributing family worker",108
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Not stated",20
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Total",682
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Employee",3649
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Owner manager of incorporated enterprise with employees",246
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Owner manager of incorporated enterprise without employees",62
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Owner manager of unincorporated enterprise with employees",137
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Owner manager of unincorporated enterprise without employees",266
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Owner manager of unincorporated enterprise - employees not stated",13
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Contributing family worker",129
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Not stated",42
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Total",4537
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Employee",3413
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Owner manager of incorporated enterprise with employees",224
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Owner manager of incorporated enterprise without employees",54
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Owner manager of incorporated enterprise - employees not stated",3
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Owner manager of unincorporated enterprise with employees",142
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Owner manager of unincorporated enterprise without employees",225
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Owner manager of unincorporated enterprise - employees not stated",3
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Contributing family worker",65
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Not stated",59
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Total",4193
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Employee",776
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Owner manager of incorporated enterprise with employees",59
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Owner manager of incorporated enterprise without employees",37
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Owner manager of unincorporated enterprise with employees",57
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Owner manager of unincorporated enterprise without employees",164
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Owner manager of unincorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Contributing family worker",28
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Not stated",16
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Total",1147
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Employee",4355
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Owner manager of incorporated enterprise with employees",197
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Owner manager of incorporated enterprise without employees",62
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Owner manager of unincorporated enterprise with employees",124
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Owner manager of unincorporated enterprise without employees",216
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Owner manager of unincorporated enterprise - employees not stated",13
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Contributing family worker",64
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Not stated",53
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Total",5097
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Employee",612
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Owner manager of incorporated enterprise with employees",67
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Owner manager of incorporated enterprise without employees",58
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Owner manager of unincorporated enterprise with employees",123
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Owner manager of unincorporated enterprise without employees",325
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Owner manager of unincorporated enterprise - employees not stated",19
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Contributing family worker",164
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Not stated",29
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Total",1397
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Employee",514
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Owner manager of incorporated enterprise with employees",34
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Owner manager of incorporated enterprise without employees",15
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Owner manager of unincorporated enterprise with employees",28
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Owner manager of unincorporated enterprise without employees",75
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Owner manager of unincorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Contributing family worker",16
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Not stated",3
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Total",696
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Employee",3
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Owner manager of incorporated enterprise with employees",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Owner manager of incorporated enterprise without employees",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Owner manager of unincorporated enterprise with employees",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Owner manager of unincorporated enterprise without employees",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Owner manager of unincorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Contributing family worker",3
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Not stated",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Total",3
"Persons Aged 15 Years and Over Place of Work","Eden","Employee",1070
"Persons Aged 15 Years and Over Place of Work","Eden","Owner manager of incorporated enterprise with employees",65
"Persons Aged 15 Years and Over Place of Work","Eden","Owner manager of incorporated enterprise without employees",25
"Persons Aged 15 Years and Over Place of Work","Eden","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Eden","Owner manager of unincorporated enterprise with employees",35
"Persons Aged 15 Years and Over Place of Work","Eden","Owner manager of unincorporated enterprise without employees",65
"Persons Aged 15 Years and Over Place of Work","Eden","Owner manager of unincorporated enterprise - employees not stated",3
"Persons Aged 15 Years and Over Place of Work","Eden","Contributing family worker",30
"Persons Aged 15 Years and Over Place of Work","Eden","Not stated",32
"Persons Aged 15 Years and Over Place of Work","Eden","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Eden","Total",1318
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Employee",425
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Owner manager of incorporated enterprise with employees",44
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Owner manager of incorporated enterprise without employees",29
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Owner manager of unincorporated enterprise with employees",41
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Owner manager of unincorporated enterprise without employees",121
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Owner manager of unincorporated enterprise - employees not stated",12
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Contributing family worker",59
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Not stated",15
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Total",745
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Employee",2615
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Owner manager of incorporated enterprise with employees",266
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Owner manager of incorporated enterprise without employees",92
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Owner manager of incorporated enterprise - employees not stated",8
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Owner manager of unincorporated enterprise with employees",159
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Owner manager of unincorporated enterprise without employees",299
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Owner manager of unincorporated enterprise - employees not stated",7
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Contributing family worker",66
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Not stated",65
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Total",3574
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Employee",2690
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Owner manager of incorporated enterprise with employees",114
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Owner manager of incorporated enterprise without employees",63
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Owner manager of unincorporated enterprise with employees",121
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Owner manager of unincorporated enterprise without employees",237
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Owner manager of unincorporated enterprise - employees not stated",5
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Contributing family worker",55
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Not stated",39
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Total",3323
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Employee",1689
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Owner manager of incorporated enterprise with employees",138
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Owner manager of incorporated enterprise without employees",64
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Owner manager of incorporated enterprise - employees not stated",3
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Owner manager of unincorporated enterprise with employees",125
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Owner manager of unincorporated enterprise without employees",312
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Owner manager of unincorporated enterprise - employees not stated",13
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Contributing family worker",93
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Not stated",44
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Total",2470
"Persons Aged 15 Years and Over Place of Work","Goulburn","Employee",8701
"Persons Aged 15 Years and Over Place of Work","Goulburn","Owner manager of incorporated enterprise with employees",348
"Persons Aged 15 Years and Over Place of Work","Goulburn","Owner manager of incorporated enterprise without employees",100
"Persons Aged 15 Years and Over Place of Work","Goulburn","Owner manager of incorporated enterprise - employees not stated",9
"Persons Aged 15 Years and Over Place of Work","Goulburn","Owner manager of unincorporated enterprise with employees",210
"Persons Aged 15 Years and Over Place of Work","Goulburn","Owner manager of unincorporated enterprise without employees",370
"Persons Aged 15 Years and Over Place of Work","Goulburn","Owner manager of unincorporated enterprise - employees not stated",12
"Persons Aged 15 Years and Over Place of Work","Goulburn","Contributing family worker",94
"Persons Aged 15 Years and Over Place of Work","Goulburn","Not stated",107
"Persons Aged 15 Years and Over Place of Work","Goulburn","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Goulburn","Total",9958
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Employee",1982
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Owner manager of incorporated enterprise with employees",160
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Owner manager of incorporated enterprise without employees",118
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Owner manager of incorporated enterprise - employees not stated",9
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Owner manager of unincorporated enterprise with employees",231
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Owner manager of unincorporated enterprise without employees",419
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Owner manager of unincorporated enterprise - employees not stated",28
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Contributing family worker",403
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Not stated",59
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Total",3410
"Persons Aged 15 Years and Over Place of Work","Yass","Employee",1774
"Persons Aged 15 Years and Over Place of Work","Yass","Owner manager of incorporated enterprise with employees",100
"Persons Aged 15 Years and Over Place of Work","Yass","Owner manager of incorporated enterprise without employees",37
"Persons Aged 15 Years and Over Place of Work","Yass","Owner manager of incorporated enterprise - employees not stated",4
"Persons Aged 15 Years and Over Place of Work","Yass","Owner manager of unincorporated enterprise with employees",90
"Persons Aged 15 Years and Over Place of Work","Yass","Owner manager of unincorporated enterprise without employees",119
"Persons Aged 15 Years and Over Place of Work","Yass","Owner manager of unincorporated enterprise - employees not stated",3
"Persons Aged 15 Years and Over Place of Work","Yass","Contributing family worker",66
"Persons Aged 15 Years and Over Place of Work","Yass","Not stated",33
"Persons Aged 15 Years and Over Place of Work","Yass","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Yass","Total",2223
"Persons Aged 15 Years and Over Place of Work","Yass Region","Employee",1146
"Persons Aged 15 Years and Over Place of Work","Yass Region","Owner manager of incorporated enterprise with employees",154
"Persons Aged 15 Years and Over Place of Work","Yass Region","Owner manager of incorporated enterprise without employees",98
"Persons Aged 15 Years and Over Place of Work","Yass Region","Owner manager of incorporated enterprise - employees not stated",5
"Persons Aged 15 Years and Over Place of Work","Yass Region","Owner manager of unincorporated enterprise with employees",180
"Persons Aged 15 Years and Over Place of Work","Yass Region","Owner manager of unincorporated enterprise without employees",348
"Persons Aged 15 Years and Over Place of Work","Yass Region","Owner manager of unincorporated enterprise - employees not stated",11
"Persons Aged 15 Years and Over Place of Work","Yass Region","Contributing family worker",309
"Persons Aged 15 Years and Over Place of Work","Yass Region","Not stated",37
"Persons Aged 15 Years and Over Place of Work","Yass Region","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Yass Region","Total",2291
"Persons Aged 15 Years and Over Place of Work","Young","Employee",3449
"Persons Aged 15 Years and Over Place of Work","Young","Owner manager of incorporated enterprise with employees",208
"Persons Aged 15 Years and Over Place of Work","Young","Owner manager of incorporated enterprise without employees",83
"Persons Aged 15 Years and Over Place of Work","Young","Owner manager of incorporated enterprise - employees not stated",3
"Persons Aged 15 Years and Over Place of Work","Young","Owner manager of unincorporated enterprise with employees",183
"Persons Aged 15 Years and Over Place of Work","Young","Owner manager of unincorporated enterprise without employees",214
"Persons Aged 15 Years and Over Place of Work","Young","Owner manager of unincorporated enterprise - employees not stated",9
"Persons Aged 15 Years and Over Place of Work","Young","Contributing family worker",159
"Persons Aged 15 Years and Over Place of Work","Young","Not stated",69
"Persons Aged 15 Years and Over Place of Work","Young","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Young","Total",4377
"Persons Aged 15 Years and Over Place of Work","Young Region","Employee",1445
"Persons Aged 15 Years and Over Place of Work","Young Region","Owner manager of incorporated enterprise with employees",128
"Persons Aged 15 Years and Over Place of Work","Young Region","Owner manager of incorporated enterprise without employees",44
"Persons Aged 15 Years and Over Place of Work","Young Region","Owner manager of incorporated enterprise - employees not stated",3
"Persons Aged 15 Years and Over Place of Work","Young Region","Owner manager of unincorporated enterprise with employees",183
"Persons Aged 15 Years and Over Place of Work","Young Region","Owner manager of unincorporated enterprise without employees",271
"Persons Aged 15 Years and Over Place of Work","Young Region","Owner manager of unincorporated enterprise - employees not stated",17
"Persons Aged 15 Years and Over Place of Work","Young Region","Contributing family worker",250
"Persons Aged 15 Years and Over Place of Work","Young Region","Not stated",46
"Persons Aged 15 Years and Over Place of Work","Young Region","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Young Region","Total",2395
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Employee",569
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Owner manager of incorporated enterprise with employees",87
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Owner manager of incorporated enterprise without employees",88
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Owner manager of unincorporated enterprise with employees",54
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Owner manager of unincorporated enterprise without employees",220
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Owner manager of unincorporated enterprise - employees not stated",5
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Contributing family worker",42
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Not stated",17
"Persons Aged 15 Years and Over Place of Work","Avoca Beach - Copacabana","Not applicable",0
